,Name,Price/Night
187,Villa in Bengaluru,"₹4,080 ₹3,540 night"
188,Room in Indiranagar,"₹1,070 night"
189,Flat in Bengaluru,"₹3,271 night"
190,Room in Bengaluru,"₹1,997 night"
191,Flat in Bengaluru,₹947 night
192,Room in Bengaluru,"₹1,370 night"
193,Room in Indiranagar,"₹1,064 ₹960 night"
194,Flat in Bengaluru,"₹2,570 ₹2,291 night"
195,Room in Bangalore,"₹3,398 night"
196,Home in Bengaluru,"₹1,799 ₹1,558 night"
197,Home in Bengaluru,"₹1,573 ₹1,362 night"
198,Flat in Bengaluru,"₹1,349 ₹1,168 night"
199,Room in Bengaluru,"₹1,054 ₹948 night"
200,Room in Bangalore,"₹1,483 night"
201,Home in Bengaluru,"₹2,128 night"
202,Flat in Bengaluru,"₹1,643 night"
203,Flat in Bengaluru,"₹1,785 night"
204,Flat in Bengaluru,"₹1,405 night"
205,Villa in Bengaluru,"₹4,080 ₹3,540 night"
206,Room in Indiranagar,"₹1,070 night"
207,Flat in Bengaluru,"₹3,271 night"
208,Room in Bengaluru,"₹1,997 night"
209,Flat in Bengaluru,₹947 night
210,Room in Bengaluru,"₹1,370 night"
211,Room in Indiranagar,"₹1,064 ₹960 night"
212,Flat in Bengaluru,"₹2,570 ₹2,291 night"
213,Room in Bangalore,"₹3,398 night"
214,Home in Bengaluru,"₹1,799 ₹1,558 night"
215,Home in Bengaluru,"₹1,573 ₹1,362 night"
216,Flat in Bengaluru,"₹1,349 ₹1,168 night"
217,Room in Bengaluru,"₹1,054 ₹948 night"
218,Room in Bangalore,"₹1,483 night"
219,Home in Bengaluru,"₹2,128 night"
220,Flat in Bengaluru,"₹1,643 night"
221,Flat in Bengaluru,"₹1,785 night"
222,Flat in Bengaluru,"₹1,405 night"
223,Villa in Bengaluru,"₹4,080 ₹3,540 night"
224,Room in Indiranagar,"₹1,070 night"
225,Flat in Bengaluru,"₹3,271 night"
226,Room in Bengaluru,"₹1,997 night"
227,Flat in Bengaluru,₹947 night
228,Room in Bengaluru,"₹1,370 night"
229,Room in Indiranagar,"₹1,064 ₹960 night"
230,Flat in Bengaluru,"₹2,570 ₹2,291 night"
231,Room in Bangalore,"₹3,398 night"
232,Home in Bengaluru,"₹1,799 ₹1,558 night"
233,Home in Bengaluru,"₹1,573 ₹1,362 night"
